,link,date,rank,song,artist
112,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,13,Better Now,Post Malone
113,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,14,Mo Bamba,Sheck Wes
114,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,15,Breathin,Ariana Grande
115,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,16,Youngblood,5 Seconds Of Summer
116,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,17,Money,Cardi B
117,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,18,Going Bad,Meek Mill Featuring Drake
118,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,19,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
119,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,20,MIA,Bad Bunny Featuring Drake
120,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,21,Leave Me Alone,Flipp Dinero
121,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,22,Lucid Dreams,Juice WRLD
122,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,23,Shallow,Lady Gaga & Bradley Cooper
123,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,24,Better,Khalid
124,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,25,Speechless,Dan + Shay
125,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,26,Trip,Ella Mai
126,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,27,Beautiful,Bazzi Featuring Camila Cabello
127,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,28,Love Lies,Khalid & Normani
128,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,29,Natural,Imagine Dragons
129,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,30,I Like It,"Cardi B, Bad Bunny & J Balvin"
130,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,31,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
131,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,32,She Got The Best Of Me ,Luke Combs
132,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,33,A Lot,21 Savage
133,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,34,You Say,Lauren Daigle
134,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,35,Undecided,Chris Brown
135,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,36,Uproar,Lil Wayne
136,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,37,Sweet But Psycho,Ava Max
137,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,38,Baby Shark,Pinkfong
138,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,39,Best Shot,Jimmie Allen
139,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,40,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
140,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,41,Beautiful Crazy,Luke Combs
141,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,42,Be Alright,Dean Lewis
142,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,43,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus
143,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,44,Good Girl,Dustin Lynch
144,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,45,Sixteen,Thomas Rhett
145,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,46,Crushed Up,Future
146,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,47,Burning Man,Dierks Bentley Featuring Brothers Osborne
147,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,48,Backin' It Up,Pardison Fontaine Featuring Cardi B
148,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,49,Look Back At It,A Boogie Wit da Hoodie
149,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,50,Girl Like You,Jason Aldean
150,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,51,This Feeling,The Chainsmokers Featuring Kelsea Ballerini
151,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,52,Consequences,Camila Cabello
152,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,53,This Is It,Scotty McCreery
153,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,54,Armed And Dangerous,Juice WRLD
154,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,55,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee
155,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,56,Calling My Spirit,Kodak Black
156,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,57,Talk To Me,Tory Lanez & Rich The Kid
157,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,58,You,Jacquees
158,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,59,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga
159,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,60,Last Shot,Kip Moore
160,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,61,No Stylist,French Montana Featuring Drake
161,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,62,Electricity,Silk City x Dua Lipa
162,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,63,Envy Me,Calboy
163,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,64,Ella Quiere Beber,Anuel AA & Romeo Santos
164,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,65,Lovely,Billie Eilish & Khalid
165,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,66,Pure Cocaine,Lil Baby
166,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,67,Millionaire,Chris Stapleton
167,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,68,When The Party's Over,Billie Eilish
168,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,69,Take It From Me,Jordan Davis
169,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,70,Can't Leave Without It,21 Savage
170,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,71,Yosemite,Travis Scott
171,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,72,Fine China,Future & Juice WRLD
172,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,73,Imagine,Ariana Grande
173,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,74,What Makes You Country,Luke Bryan
174,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,75,Down To The Honkytonk,Jake Owen
175,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,76,Ruin My Life,Zara Larsson
176,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,77,BAD!,XXXTENTACION
177,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,78,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy
178,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,79,Blue Tacoma,Russell Dickerson
179,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,80,Body,Loud Luxury Featuring Brando
180,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,81,Butterfly Doors,Lil Pump
181,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,82,Love Someone,Lukas Graham
182,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,83,Space Cadet,Metro Boomin Featuring Gunna
183,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,84,Lost In Japan,Shawn Mendes X Zedd
184,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,85,Love Wins,Carrie Underwood
185,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,86,Nuketown,Ski Mask The Slump God Featuring Juice WRLD
186,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,87,Valuable Pain,YoungBoy Never Broke Again
187,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,88,Here Tonight,Brett Young
188,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,89,Close Friends,Lil Baby
189,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,90,Monster,21 Savage
190,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,91,Roses,benny blanco & Juice WRLD Featuring Brendon Urie
191,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,92,Make It Sweet,Old Dominion
192,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,93,Burn Out,Midland
193,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,94,Good Form,Nicki Minaj Featuring Lil Wayne
194,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,95,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD
195,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,96,KIKA,6ix9ine Featuring Tory Lanez
196,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,97,Ocean Eyes,Billie Eilish
197,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,98,idontwannabeyouanymore,Billie Eilish
198,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,99,Dip,Tyga & Nicki Minaj
199,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,100,Lucky You,Eminem Featuring Joyner Lucas
200,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,1,Without Me,Halsey
201,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,2,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
202,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,3,Sicko Mode,Travis Scott
203,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,4,High Hopes,Panic! At The Disco
204,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,5,"Thank U, Next",Ariana Grande
205,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,6,Happier,Marshmello & Bastille
206,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,7,Girls Like You,Maroon 5 Featuring Cardi B
207,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,8,Drip Too Hard,Lil Baby & Gunna
208,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,9,Wow.,Post Malone
209,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,10,ZEZE,Kodak Black Featuring Travis Scott & Offset
210,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,11,Eastside,"benny blanco, Halsey & Khalid"
211,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,12,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
212,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,13,Money,Cardi B
213,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,14,Mo Bamba,Sheck Wes
214,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,15,Better Now,Post Malone
215,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,16,Youngblood,5 Seconds Of Summer
216,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,17,Going Bad,Meek Mill Featuring Drake
217,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,18,Breathin,Ariana Grande
218,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,19,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
219,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,20,MIA,Bad Bunny Featuring Drake
220,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,21,Leave Me Alone,Flipp Dinero
221,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,22,Better,Khalid
222,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,23,Lucid Dreams,Juice WRLD
223,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,24,Shallow,Lady Gaga & Bradley Cooper
224,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,25,Speechless,Dan + Shay
225,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,26,Beautiful,Bazzi Featuring Camila Cabello
226,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,27,Lost In The Fire,Gesaffelstein & The Weeknd
227,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,28,Love Lies,Khalid & Normani
228,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,29,Trip,Ella Mai
229,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,30,I Like It,"Cardi B, Bad Bunny & J Balvin"
230,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,31,Natural,Imagine Dragons
231,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,32,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
232,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,33,Dancing With A Stranger,Sam Smith & Normani
233,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,34,A Lot,21 Savage
234,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,35,You Say,Lauren Daigle
235,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,36,Sweet But Psycho,Ava Max
236,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,37,Baby Shark,Pinkfong
237,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,38,She Got The Best Of Me ,Luke Combs
238,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,39,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
239,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,40,Look Back At It,A Boogie Wit da Hoodie
240,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,41,Envy Me,Calboy
241,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,42,Beautiful Crazy,Luke Combs
242,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,43,Sixteen,Thomas Rhett
243,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,44,Be Alright,Dean Lewis
244,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,45,Backin' It Up,Pardison Fontaine Featuring Cardi B
245,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,46,Girl Like You,Jason Aldean
246,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,47,Burning Man,Dierks Bentley Featuring Brothers Osborne
247,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,48,Best Shot,Jimmie Allen
248,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,49,Uproar,Lil Wayne
249,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,50,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus
250,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,51,This Feeling,The Chainsmokers Featuring Kelsea Ballerini
251,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,52,This Is It,Scotty McCreery
252,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,53,Good Girl,Dustin Lynch
253,https://www.billboard.com/charts/hot-100/2019-01-22,2019-01-22,54,Twerk,City Girls Featuring Cardi B
